0,1,2
"34.5
u;a;, மத்தை Mattala",25.5,
"මුලතිව් முை்ளைத்தீவு Mullaitivu
34.8","0.0
27.4",
"úÿ,s n,d.dr wdY%
; c,dY  நீ ர்மின்  நீ ரரந்துப்  பரப்பு Hydro Catchment Areas",,
"ÉÉ-kp..kP-mm
vR;`m`n Sw`nkio tPo;rp epiyaq;fs;Rainfall Stations",vR;`m`n Sw`n  kio tPo;rp epiyaq;fs;         Rainfall Stations,ÉÉ-kp..kP-mm
"කාසල්රී காசை் றீச்  Castlereigh
15.0",රන්නදණි ල இரந்கதனிகை Randenigala,0.0
"න ෝටන් தநாட்டன்   Norton
21.6",රන්ටැනේ இரந்தம்தப Rantambe,0.0
"මාඕස්සාකැනල්ර கமௌசக்கதை  Maussakele
9.5",නෙෝවතැන්  தபாவத்தன் ன  Bowatenna,0.0
"කැනියන් கன் யன்   Canyon
23.0",උකුනවල உக்குவை Ukuwela,1.5
"ලක්ෂපා  ைக்சபான  Lakshapana
25.0",සම ළවැව சமனைகவவ Samanala Wawa,0.0
"ඉහල නකාත්මනල්ර தமை் ககாத்மளை Upper Kotmale
7.8",කුකුනල්ර  ංඟ குக்குதைகங் க Kukuleganaga,25.0
"නකාත්මනල්ර ககாத்மளை Kotmale
9.6",මස්නකළිය மஸ் தகலிய Maskeliya,NA
"වික්නටෝරියා விக்தராறியா  Victoriya
0.0",ෑෙඩ நாகபாளட Neboda,NA
wksl=;a j¾Idm;k ia:dk ஏலனய நிலையங் களின்,மலைவீை் ச்சி Other Rainfall Stations,
"vR;`m`nSw`nkio tPo;rp epiyaq;fs;Rainfall Stations    
ÉÉ-kp..kP-mm",vR;`m`n Sw`nkio tPo;rp epiyaq;fs ;Rainfall Stations,ÉÉ-kp..kP-mm
"මාදම්නේ மாதம்தப Madampe (AWS)
52.5",කුඩාව குடாவ Kudawa (AWS),21.5
"නෙන්නතාට වත්ත கபந்ததாட்டவத்த Benthotawatta
35.0",කැටන්නදාළ கட்டன் கதாை Kethendola,21.1
කළුපහ  වතුයාය கலுபஹன ததாட்டம்  Kalupahana Estate (AWS),නතේප ාව கதப்பனாவ Theppanawa (AWS),21.0
"කිරිදිනවල கிரிந்திவை Kirindiwela
27.6",විතා කන්ද වතුයාය விதானகந்த ததாட்டம்  Vithanakanda Estate (AWS),
"යට්ටපාත யட்டபத்த Yattapatha (AWS)
27.5",නදවිතුරා වතුයාය கதவிதுர ததாட்டம்  Devitura Estate (AWS),20.0
"නිරිඇල්රල நிரிகயை் ை Niriella (AWS)
26.5",,මනඩාල්රතැන්  වතුයාය மகடாை் தன் ளன ததாட்டம்  Madolthenna Estate (AWS)
"නදහිඕවිට கதஹிதயாவிட்ட Dehiowita (AWS)
23.5",කැස්ෙෑව கஸ் பாவ Kesbewa (AWS),18.0
"නදල්රවල නත්.කර්. கதை் ைவ தத. கதா. Dellawa TF (AWS)
23.0",යටියන්නතාට யடியந்ததாட்ளட Yatiyantota (AWS),18.0
"උඳුන ාඩஉந்துககாடUndugoda
22.5",ලබු ම ைபுகம Labugama,17.8
නෙෝන ාඩ නත්.කර්. தபாககாளட தத. கதா. Bogoda TF (AWS)22.0,හිනිඳුම கினிதும Hiniduma,17.5
,මාදම්පේ மாதம் ரப Madampe (AWS),
